11,Ward,AL,16.25,Hypil,102.33,5.6,4.75,3.0,900.0,61.88,1051.88
12,Sushi,AL,17.25,Hyposium,22.33,5.6,4.75,4.0,900.0,61.88,1051.88
13,Isobel,AL,18.25,Introgen,1.0,5.6,4.75,7.0,900.0,61.88,1051.88
15,Things,AL,20.25,Plutodium,1.0,5.6,4.75,10.0,900.0,61.88,1051.88
16,Stuff,AL,21.25,Polygen,1.0,5.6,4.75,11.8,900.0,61.88,1051.88
17,More Stuff,AL,22.25,Selenesite,1.0,5.6,4.75,13.6,900.0,61.88,1051.88
18,Things,AL,23.25,Solidified Infernine,1.0,5.6,4.75,15.4,900.0,61.88,1051.88
19,Wise,AL,24.25,Thaumon,1.0,5.6,4.75,17.2,900.0,61.88,1051.88
20,Ward,AL,25.25,Transparent Calcanium,1.0,5.6,5.0,19.0,900.0,61.88,1051.88
21,Sushi,AL,26.25,Transparent Hypomite,1.0,5.6,5.0,20.8,900.0,61.88,1051.88
22,Isobel,AL,27.25,Unstable Xenonite,1.0,5.15,5.0,22.6,900.0,61.88,1051.88
24,Things,AL,29.25,Wood,200.0,5.15,5.0,26.2,900.0,61.88,0.0
25,Stuff,AL,30.25,Wood,300.0,5.15,5.0,28.0,475.0,61.88,1051.88
26,More Stuff,AL,31.25,Wood,400.0,5.15,5.0,29.8,475.0,61.88,1051.88
27,Things,OH,32.25,Wood,500.0,5.15,5.0,31.6,475.0,61.88,1051.88
28,Nanook Ketill Bogdanovi_,OH,33.25,Wood,600.0,5.15,5.0,33.4,475.0,61.88,1051.88
29,Lin Yoshirou McGill,OH,34.25,Wood,700.0,5.15,5.0,35.2,475.0,61.88,1051.88
30,Wise,OH,35.25,Axonil,800.0,5.15,5.0,37.0,475.0,61.88,1051.88
31,Wise,OH,36.25,Axonil,900.0,5.15,5.0,38.8,475.0,61.88,1051.88
32,Wise,OH,37.25,Axonil,1.5,5.15,5.0,40.6,475.0,61.88,1051.88
33,Wise,OH,38.25,Axonil,2.5,5.15,5.0,42.4,475.0,61.88,1051.88
